name	file	offset	length	dtype	shape
lm_head.weight	model-00002-of-00002.safetensors	7576	1158266880	BF16	201088x2880
model.embed_tokens.weight	model-00002-of-00002.safetensors	1158274456	1158266880	BF16	201088x2880
model.layers.0.input_layernorm.weight	model-00000-of-00002.safetensors	22248	5760	BF16	2880
model.layers.0.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	28008	184320	BF16	32x2880
model.layers.0.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	562128488	132710400	U8	32x2880x90x16
model.layers.0.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	694838888	8294400	U8	32x2880x90
model.layers.0.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	212328	368640	BF16	32x5760
model.layers.0.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	703133288	265420800	U8	32x5760x90x16
model.layers.0.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	968554088	16588800	U8	32x5760x90
model.layers.0.mlp.router.bias	model-00000-of-00002.safetensors	580968	64	BF16	32
model.layers.0.mlp.router.weight	model-00000-of-00002.safetensors	581032	184320	BF16	32x2880
model.layers.0.post_attention_layernorm.weight	model-00000-of-00002.safetensors	765352	5760	BF16	2880
model.layers.0.self_attn.k_proj.bias	model-00000-of-00002.safetensors	771112	1024	BF16	512
model.layers.0.self_attn.k_proj.weight	model-00000-of-00002.safetensors	772136	2949120	BF16	512x2880
model.layers.0.self_attn.o_proj.bias	model-00000-of-00002.safetensors	3721256	5760	BF16	2880
model.layers.0.self_attn.o_proj.weight	model-00000-of-00002.safetensors	3727016	23592960	BF16	2880x4096
model.layers.0.self_attn.q_proj.bias	model-00000-of-00002.safetensors	27319976	8192	BF16	4096
model.layers.0.self_attn.q_proj.weight	model-00000-of-00002.safetensors	27328168	23592960	BF16	4096x2880
model.layers.0.self_attn.sinks	model-00000-of-00002.safetensors	50921128	128	BF16	64
model.layers.0.self_attn.v_proj.bias	model-00000-of-00002.safetensors	50921256	1024	BF16	512
model.layers.0.self_attn.v_proj.weight	model-00000-of-00002.safetensors	50922280	2949120	BF16	512x2880
model.layers.1.input_layernorm.weight	model-00000-of-00002.safetensors	53871400	5760	BF16	2880
model.layers.1.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	53877160	184320	BF16	32x2880
model.layers.1.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	985142888	132710400	U8	32x2880x90x16
model.layers.1.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	1117853288	8294400	U8	32x2880x90
model.layers.1.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	54061480	368640	BF16	32x5760
model.layers.1.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	1126147688	265420800	U8	32x5760x90x16
model.layers.1.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	1391568488	16588800	U8	32x5760x90
model.layers.1.mlp.router.bias	model-00000-of-00002.safetensors	54430120	64	BF16	32
model.layers.1.mlp.router.weight	model-00000-of-00002.safetensors	54430184	184320	BF16	32x2880
model.layers.1.post_attention_layernorm.weight	model-00000-of-00002.safetensors	54614504	5760	BF16	2880
model.layers.1.self_attn.k_proj.bias	model-00000-of-00002.safetensors	54620264	1024	BF16	512
model.layers.1.self_attn.k_proj.weight	model-00000-of-00002.safetensors	54621288	2949120	BF16	512x2880
model.layers.1.self_attn.o_proj.bias	model-00000-of-00002.safetensors	57570408	5760	BF16	2880
model.layers.1.self_attn.o_proj.weight	model-00000-of-00002.safetensors	57576168	23592960	BF16	2880x4096
model.layers.1.self_attn.q_proj.bias	model-00000-of-00002.safetensors	81169128	8192	BF16	4096
model.layers.1.self_attn.q_proj.weight	model-00000-of-00002.safetensors	81177320	23592960	BF16	4096x2880
model.layers.1.self_attn.sinks	model-00000-of-00002.safetensors	104770280	128	BF16	64
model.layers.1.self_attn.v_proj.bias	model-00000-of-00002.safetensors	104770408	1024	BF16	512
