MemTotal:        3844364 kB
MemFree:           50768 kB
MemAvailable:    1102256 kB
Buffers:            1004 kB
Cached:          1361040 kB
SwapCached:        24108 kB
Active:          1182096 kB
Inactive:         858908 kB
Active(anon):     621604 kB
Inactive(anon):   373940 kB
Active(file):     560492 kB
Inactive(file):   484968 kB
Unevictable:      308976 kB
Mlocked:          308976 kB
SwapTotal:       2114396 kB
SwapFree:         434232 kB
Dirty:              2656 kB
Writeback:             0 kB
AnonPages:        984428 kB
Mapped:           971008 kB
Shmem:             11668 kB
KReclaimable:     105396 kB
Slab:             381196 kB
SReclaimable:     105396 kB
SUnreclaim:       275800 kB
KernelStack:       64736 kB
ShadowCallStack:   16176 kB
PageTables:       103356 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     4036576 kB
Committed_AS:   197874516 kB
VmallocTotal:   262930368 kB
VmallocUsed:      143080 kB
VmallocChunk:          0 kB
Percpu:            10528 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         315392 kB
CmaFree:            7980 kB
IonTotalHeap:     137204 kB
IonTotalPool:       5404 kB
HighAtomicFree:      656 kB
