MemTotal:        3844364 kB
MemFree:           99292 kB
MemAvailable:    1484232 kB
Buffers:             800 kB
Cached:          1688288 kB
SwapCached:        23732 kB
Active:          1164240 kB
Inactive:         972168 kB
Active(anon):     480812 kB
Inactive(anon):   279780 kB
Active(file):     683428 kB
Inactive(file):   692388 kB
Unevictable:      308816 kB
Mlocked:          308816 kB
SwapTotal:       2114396 kB
SwapFree:         676408 kB
Dirty:               312 kB
Writeback:             0 kB
AnonPages:        751764 kB
Mapped:           937456 kB
Shmem:              7940 kB
KReclaimable:     108492 kB
Slab:             372372 kB
SReclaimable:     108492 kB
SUnreclaim:       263880 kB
KernelStack:       64288 kB
ShadowCallStack:   16080 kB
PageTables:       107900 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     4036576 kB
Committed_AS:   213587464 kB
VmallocTotal:   262930368 kB
VmallocUsed:      142352 kB
VmallocChunk:          0 kB
Percpu:            10432 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         315392 kB
CmaFree:           60424 kB
IonTotalHeap:     132916 kB
IonTotalPool:         68 kB
HighAtomicFree:     1044 kB
